corpID,locale,corpName,zip,address,city,enrollment,teacher_count,locale_size
4805,Rural,New Prairie United School Corp,46435,5327 N Cougar Rd,New Carlisle,2972,157,Fringe
4255,Rural,Nineveh-Hensley-Jackson United,46436,802 S Indian Creek Dr,Trafalgar,1899,104,Distant
3070,Suburb,Noblesville Schools,46437,18025 River Ave,Noblesville,10611,575,Large
0025,Town,North Adams Community Schools,46438,625 Stadium Dr,Decatur,1780,114,Distant
6375,Town,North Central Parke Comm Schl Corp,46439,1497 East SR 47,Marshall,1146,90,Distant
1375,Rural,North Daviess Com Schools,46440,5494 E SR 58,Elnora,1189,71,Remote
2735,Rural,North Gibson School Corporation,46441,1104 N Embree St,Princeton,2022,125,Fringe
3180,Rural,North Harrison Com School Corp,46442,1260 Hwy 64 NW,Ramsey,2206,115,Fringe
7515,Rural,North Judson-San Pierre Sch Corp,46443,801 Campbell Dr,North Judson,1005,63,Distant
4315,Rural,North Knox School Corp,46444,11110 N SR 159,Bicknell,1337,75,Distant
5075,Rural,North Lawrence Com Schools,46445,PO Box 729,Bedford,4727,312,Fringe
5620,Rural,North Miami Community Schools,46446,394 E 900 N,Denver,911,48,Distant
5835,Rural,North Montgomery Com Sch Corp,46447,480 W 580 N,Crawfordsville,1829,111,Distant
5945,Rural,North Newton School Corp,46448,PO Box 8,Morocco,1234,77,Distant
6715,Rural,North Putnam Community Schools,46449,PO Box 169-300 N Washington,Bainbridge,1384,89,Distant
7385,Rural,North Spencer County Sch Corp,46450,PO Box 316,Lincoln City,2080,114,Distant
8010,Rural,North Vermillion Com Sch Corp,46451,5551 N Falcon Dr,Cayuga,759,54,Distant
3295,Rural,North West Hendricks Schools,46452,Box 70,Lizton,1873,99,Fringe
8515,Rural,North White School Corp,46453,402 E Broadway St,Monon,846,54,Distant
2040,Rural,Northeast Dubois Co Sch Corp,46454,5379 E Main St Box 158,Dubois,879,57,Distant
7645,Rural,Northeast School Corp,46455,PO Box 493,Hymera,842,51,Distant
8375,Rural,Northeastern Wayne Schools,46456,PO Box 406,Fountain City,1338,80,Distant
8435,Rural,Northern Wells Community Schools,46457,312 N Jefferson St,Ossian,2502,144,Distant
0225,Rural,Northwest Allen County Schools,46458,13119 Coldwater Rd,Fort Wayne,7722,413,Fringe
7350,Rural,Northwestern Con School Corp,46459,4920 W 600 N,Fairland,1539,77,Fringe
3470,Rural,Northwestern School Corp,46460,3075 N Washington St,Kokomo,1817,104,Fringe
5625,Rural,Oak Hill United School Corp,46461,"1474 N 800 W, PO Box 550",Converse,1725,95,Distant
9325,City,Options Charter School - Carmel,46462,530 W Carmel Dr,Carmel,207,7,Small
9640,Suburb,Options Charter School Noblesville,46463,9945 Cumberland Pointe Blvd,Noblesville,302,9,Large
7495,Rural,Oregon-Davis School Corp,46464,5998 N 750 E,Hamlet,500,35,Distant
6145,Rural,Orleans Community Schools,46465,173 W Marley St,Orleans,865,57,Distant
9030,,Otwell Miller Academy,46466,9958 East County Road 150 N,Otwell,88,6,
6155,Town,Paoli Community School Corp,46467,501 Elm St - Ofc Supt,Paoli,1378,96,Distant
9680,City,Paramount Brookside ,46468,3020 Nowland Ave,Indianapolis,801,35,Large
9060,,Paramount Community Heights ,46469,350 E Massachusetts Suite 300,Indianapolis,103,6,
7175,Suburb,Penn-Harris-Madison School Corp,46470,55900 Bittersweet Rd,Mishawaka,11496,536,Large
6325,Rural,Perry Central Com Schools Corp,46471,18677 Old SR 37,Leopold,1267,66,Remote
5340,City,Perry Township Schools,46472,6548 Orinoco Ave,Indianapolis,16610,798,Large
5635,Town,Peru Community Schools,46473,35 W 3rd St,Peru,2082,122,Distant
9925,City,Phalen Leadership Academy - IN Inc,46474,2323 North Illinois Street,Indianapolis,216,13,Large
6445,Rural,Pike County School Corp,46475,211 South 12th St,Petersburg,1749,112,Distant
9085,,pilotED Schools,46476,2710  Bethel Ave,Indianapolis,85,10,
0775,Rural,Pioneer Regional School Corp,46477,PO Box 577,Royal Center,955,60,Distant
3330,Suburb,Plainfield Community School Corp,46478,985 S Longfellow Dr,Plainfield,5715,268,Large
5485,Town,Plymouth Community School Corp,46479,611 Berkley St,Plymouth,3526,212,Distant
6550,Suburb,Portage Township Schools,46480,6240 US Hwy 6,Portage,7439,440,Large
6520,Rural,Porter Township School Corp,46481,248 S 500 W,Valparaiso,1473,90,Fringe
4515,Rural,Prairie Heights Community Sch Corp,46482,0305 S 1150 E,LaGrange,1280,78,Distant
9015,,Purdue Polytechnic High School Ind,46483,49 W Maryland St H10B,Indianapolis,260,13,
6825,Town,Randolph Central School Corp,46484,103 N East St,Winchester,1480,99,Distant
6835,Town,Randolph Eastern School Corp,46485,731 N Plum St,Union City,908,63,Distant
6805,Rural,Randolph Southern School Corp,46486,1 Rebel Dr,Lynn,511,37,Distant
9690,Rural,Renaissance Academy Charter School,46487,4093 W US 20,LaPorte,230,13,Fringe
3815,Town,Rensselaer Central School Corp,46488,900 E Washington St,Rensselaer,1637,96,Distant
5705,Suburb,Richland-Bean Blossom C S C,46489,600 S Edgewood Dr,Ellettsville,2702,152,Midsize
8385,Town,Richmond Community Schools,46490,300 Hub Etchison Parkway,Richmond,4859,288,Distant
6080,Rural,Rising Sun-Ohio Co Com,46491,110 S Henrietta St,Rising Sun,797,53,Distant
4590,Suburb,River Forest Community Sch Corp,46492,3250 Michigan St,Hobart,1663,99,Large
9145,,Riverside High School,46493,110 E 16th Street,Indianapolis,282,31,
2645,Town,Rochester Community School Corp,46494,690 Zebra Ln Box 108,Rochester,1776,114,Distant
